group,eps,case,relerr
diag,1e-4,1,1.785354493746171e-09
diag,1e-4,1,3.327095216174615e-09
diag,1e-4,1,4.170093889940300e-12
diag,1e-4,1,2.754909458785935e-08
diag,1e-4,1,2.245279974964633e-12
diag,1e-4,1,5.386414625894394e-09
diag,1e-4,1,1.437784090298207e-09
diag,1e-4,1,1.997315446308336e-12
diag,1e-4,1,1.970686882190766e-12
diag,1e-4,1,8.880616260210474e-11
diag,1e-4,1,4.064090253015442e-10
diag,1e-4,1,1.139301131674203e-13
diag,1e-4,1,4.084718359633476e-11
diag,1e-4,1,6.870073683466193e-08
diag,1e-4,1,7.412789483509276e-08
diag,1e-4,1,1.178318247917279e-12
diag,1e-4,1,2.895098119729785e-07
diag,1e-4,1,1.586795728560315e-08
diag,1e-4,1,5.883710572839132e-13
diag,1e-4,1,2.029060274118129e-11
diag,1e-4,1,1.549801414863235e-08
diag,1e-4,1,1.114065021506253e-11
diag,1e-4,1,7.597609593863328e-13
diag,1e-4,1,1.317582674865483e-11
diag,1e-4,1,7.642654319409151e-07
diag,1e-4,1,2.844307701656580e-10
diag,1e-4,1,1.065110401931148e-12
diag,1e-4,1,1.184595892304026e-12
diag,1e-4,1,4.626149786135848e-06
diag,1e-4,1,1.726891437923840e-09
diag,1e-4,1,3.743071592847280e-10
diag,1e-4,1,3.254943171321548e-11
diag,1e-4,1,8.416143232027428e-09
diag,1e-4,1,9.335353521835589e-13
diag,1e-4,1,2.557399437440781e-07
diag,1e-4,1,1.660040743347197e-11
diag,1e-4,1,3.734024981160648e-12
diag,1e-4,1,4.396796020984397e-08
diag,1e-4,1,4.317482869791389e-06
diag,1e-4,1,1.354227217276639e-11
diag,1e-4,1,2.832880148727518e-09
diag,1e-4,1,3.669540988258705e-14
diag,1e-4,1,4.853778747255370e-12
diag,1e-4,1,1.207877181391232e-10
diag,1e-4,1,1.377731579508251e-11
diag,1e-4,1,1.462913651474122e-07
diag,1e-4,1,8.812629454574419e-12
diag,1e-4,1,7.176533039907932e-07
diag,1e-4,1,1.214475197722835e-14
diag,1e-4,1,4.625552850467644e-13
diag,1e-4,1,1.269477075616116e-14
diag,1e-4,1,1.373847806329152e-10
diag,1e-4,1,2.768370640534698e-14
diag,1e-4,1,1.513649600038909e-11
diag,1e-4,1,6.704833559971065e-12
diag,1e-4,1,3.648268637791833e-12
diag,1e-4,1,6.792992298426985e-10
diag,1e-4,1,5.300317662928782e-09
diag,1e-4,1,3.208527307233736e-12
diag,1e-4,1,5.211765081116446e-10
diag,1e-4,1,8.826769033649434e-09
diag,1e-4,1,3.994808605820306e-10
diag,1e-4,1,5.815513792604987e-11
diag,1e-4,1,6.588369534345614e-14
